epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.792,2.18054,6.36855,2.26272,0.09677,0.27759,0.08646,0.04121,2.37065,15.3054,2.71452,0.000661157,0.000661157,0.0676033
2,180.607,2.13017,5.47946,2.24403,0.14431,0.17379,0.0387,0.01866,2.69644,34.5351,2.96946,0.0013275,0.0013275,0.0349363
3,249.748,2.1393,5.53506,2.25655,0.08769,0.10598,0.03656,0.01505,3.1082,24.4038,3.17906,0.00199254,0.00199254,0.00226802
4,308.425,2.10385,5.38194,2.24192,0.21698,0.23913,0.10631,0.05871,2.27418,8.54428,2.41809,0.00199561,0.00199561,0.00199561
5,370.368,1.99806,5.05951,2.13209,0.13952,0.24265,0.13916,0.07491,2.03731,10.2272,2.2244,0.00199219,0.00199219,0.00199219
6,421.2,1.94874,4.88259,2.09746,0.17118,0.3408,0.15734,0.09698,1.93457,5.2237,2.14566,0.00198781,0.00198781,0.00198781
7,474.459,1.90436,4.75402,2.06208,0.23738,0.30411,0.19447,0.12,1.85073,5.01239,2.05528,0.00198246,0.00198246,0.00198246
8,525.491,1.8466,4.5975,2.021,0.21257,0.33658,0.21744,0.1363,1.83714,4.6184,2.10098,0.00197616,0.00197616,0.00197616
9,577.653,1.8187,4.47209,2.0029,0.22734,0.36232,0.22377,0.13848,1.7482,4.62747,1.96433,0.0019689,0.0019689,0.0019689
10,630.033,1.80787,4.44302,2.00063,0.3243,0.34768,0.24389,0.12995,2.11822,4.37281,2.13734,0.00196069,0.00196069,0.00196069
11,682.732,1.77335,4.31533,1.97429,0.20635,0.33153,0.22293,0.13796,1.8232,5.05757,2.08837,0.00195155,0.00195155,0.00195155
12,732.177,1.74074,4.18966,1.94431,0.29549,0.37496,0.28851,0.19611,1.6385,4.09419,1.88993,0.00194147,0.00194147,0.00194147
13,783.223,1.72382,4.13735,1.93469,0.25091,0.45207,0.2994,0.20144,1.61464,4.29045,1.89253,0.00193048,0.00193048,0.00193048
14,832.699,1.71505,4.0575,1.9324,0.34869,0.39544,0.33883,0.2317,1.51799,3.81168,1.82404,0.00191858,0.00191858,0.00191858
15,882.438,1.69519,3.97575,1.91222,0.34753,0.43224,0.34086,0.20527,1.88361,4.03519,2.00062,0.00190578,0.00190578,0.00190578
16,932.62,1.69005,3.9431,1.90451,0.35189,0.45117,0.36566,0.25557,1.48233,3.80154,1.80264,0.0018921,0.0018921,0.0018921
17,982.232,1.66631,3.87899,1.90407,0.35055,0.40301,0.33413,0.22295,1.61271,3.85298,1.83765,0.00187754,0.00187754,0.00187754
18,1032.58,1.66841,3.79433,1.89299,0.41482,0.44989,0.3979,0.27151,1.58374,3.6567,1.80835,0.00186213,0.00186213,0.00186213
19,1082.81,1.65148,3.76563,1.88382,0.40214,0.43479,0.40615,0.27982,1.50162,3.50827,1.75584,0.00184588,0.00184588,0.00184588
20,1134.36,1.63718,3.67001,1.8737,0.39764,0.50438,0.43373,0.29619,1.51091,3.65523,1.74816,0.00182881,0.00182881,0.00182881
21,1185.05,1.60853,3.57264,1.84579,0.46532,0.46778,0.46848,0.32443,1.48939,3.37697,1.7395,0.00181093,0.00181093,0.00181093
22,1234.54,1.61206,3.5603,1.84882,0.45161,0.50438,0.46439,0.33172,1.44643,3.29493,1.72672,0.00179225,0.00179225,0.00179225
23,1285.84,1.59533,3.47804,1.82681,0.48727,0.47892,0.479,0.34349,1.40092,3.38118,1.71569,0.00177281,0.00177281,0.00177281
24,1335.19,1.57672,3.39832,1.81237,0.5032,0.52189,0.49833,0.36073,1.40917,3.28316,1.70397,0.00175261,0.00175261,0.00175261
25,1385.15,1.57546,3.38251,1.81159,0.47996,0.49457,0.49567,0.36062,1.40841,3.25798,1.72948,0.00173168,0.00173168,0.00173168
26,1435.93,1.55115,3.30896,1.80334,0.50808,0.49852,0.50294,0.35446,1.45142,3.26774,1.70289,0.00171004,0.00171004,0.00171004
27,1485.04,1.57117,3.28873,1.81306,0.53409,0.5406,0.54564,0.39387,1.43114,3.03414,1.69334,0.0016877,0.0016877,0.0016877
28,1534.47,1.54297,3.26042,1.80469,0.51994,0.51844,0.52548,0.39228,1.31839,3.17732,1.66365,0.0016647,0.0016647,0.0016647
